Instance,nvar,,LS-DivSAT,,,,DiversekSet,,,,DiverSAT,,
,,,avg.dis,time,Quality,,avg.dis,time,Quality,,avg.dis,time,Quality
hardware/cnf_cbpmas_prop_8_15004_2.cnf_8.69000000.sat,83908,,936165,904.8,0.247934245,,876820.6,455.1,0.232217455,,885344.4,2440.9,0.234474901
hardware/cnf_cbpmas_prop_9_15343_2.cnf_12.07000000.sat,83908,,933652.6,1245.1,0.247268861,,872441.7,402.4,0.231057746,,880740.5,2651.6,0.233255603
hardware/cnf_cpipe_prop_10_20413_2.cnf_16.84000000.sat,425390,,2882680.7,2981.1,0.150590214,,2428361.4,679,0.126856735,,2457952.9,2039.2,0.128402585
hardware/cnf_cpipe_prop_11_21051_2.cnf_29.93000000.sat,425390,,3082305.9,3456.7,0.161018563,,2620159.2,764.3,0.136876184,,2663080.3,2234.2,0.139118367
hardware/cnf_cpipe_prop_12_21804_2.cnf_68.17000000.sat,425390,,3269538.5,3575.7,0.170799528,,2804591.1,827.1,0.146510841,,2835173.5,2293.4,0.148108455
hardware/cnf_cpipe_prop_13_23041_2.cnf_42.17000000.sat,425390,,3263944.2,3173.6,0.170507284,,2791821.1,832.1,0.145843741,,2846136.2,2292.1,0.148681142
hardware/cnf_cpipe_prop_14_23811_2.cnf_292.62000000.sat,910868,,5588135.6,2500,0.136332368,,4760281.9,1754.3,0.116135425,,4780022.1,2180.9,0.116617022
hardware/cnf_cpipe_prop_15_25783_2.cnf_189.85000000.sat,749042,,4726281,3260.8,0.140217059,,3981348.2,1378.7,0.118116747,,4061218.3,2723.7,0.120486295
hardware/cnf_cpipe_prop_16_27432_2.cnf_40.15000000.sat,360071,,2874360.5,3404.4,0.177394674,,2477836.9,452.6,0.152922735,,2501290,1895.4,0.154370172
hardware/cnf_cpipe_prop_17_28108_2.cnf_72.55000000.sat,517235,,3913288.2,3573.8,0.16812853,,3393320.8,884.8,0.145788914,,3424246.7,2517.9,0.147117599
hardware/cnf_cpipe_prop_18_28701_2.cnf_263.71000000.sat,674399,,4883800.6,2341.9,0.160926843,,4003141.5,1297.7,0.131908114,,4133056.3,2734.3,0.136188956
hardware/cnf_cpipe_prop_1_1311_2.cnf_604.73000000.sat,782173,,4116719.2,2148.4,0.11695961,,3563998.7,1342.5,0.101256335,,3575447,2431.1,0.101581591
hardware/cnf_cpipe_prop_2_5187_2.cnf_67.86000000.sat,444773,,3450847.2,3485.8,0.172414902,,2936480.9,745.6,0.146715586,,2988829.6,2280.4,0.149331087
hardware/cnf_cpipe_prop_3_6087_2.cnf_512.33000000.sat,367652,,2179570.3,2617.9,0.131741145,,1745157.6,1474.9,0.105483664,,1752918.1,2215.9,0.105952737
hardware/cnf_cpipe_prop_4_8995_2.cnf_377.48000000.sat,443796,,3251807.1,3303.6,0.162827921,,2792163.1,1163.5,0.139812141,,2830662,2652.5,0.141739899
hardware/cnf_cpipe_prop_5_12634_2.cnf_428.11000000.sat,542022,,3532771.2,3164.6,0.144839189,,2989893.2,1754.6,0.122581871,,2996944.2,2109.5,0.122870954
hardware/cnf_cpipe_prop_6_14274_2.cnf_315.20000000.sat,749042,,4940624.1,3398.5,0.146576089,,4203733.5,1650,0.124714368,,4227130,2531.6,0.125408485
hardware/cnf_cpipe_prop_7_16419_2.cnf_111.63000000.sat,587216,,3823590,3574.1,0.144697465,,3228092.5,980.9,0.122161843,,3276336.4,2409,0.123987554
hardware/cnf_cpipe_prop_8_18296_2.cnf_47.23000000.sat,587216,,3998653.1,3255.9,0.15132244,,3442575.1,1121.9,0.130278584,,3496621.3,1963.3,0.132323873
hardware/cnf_cpipe_prop_9_19174_2.cnf_130.83000000.sat,587216,,4197467.9,3227.9,0.158846258,,3502812.5,616.6,0.132558169,,3580302.5,1410.5,0.13549065
hardware/cnf_mo_prop_10_14326_2.cnf_5.95000000.sat,165467,,1599405.7,2747.7,0.214800225,,1188969.7,598.4,0.15967866,,1238662.5,2296.2,0.166352405
hardware/cnf_mo_prop_11_15981_2.cnf_5.79000000.sat,165507,,1582315.4,2472.2,0.212453639,,1184763.1,453.3,0.159075259,,1225442,2250.4,0.164537116
hardware/cnf_mo_prop_1_790_2.cnf_0.00000000.sat,3665,,76966,1559.6,0.46667273,,76445.4,<1,0.463516144,,43337,458.9,0.262767925
hardware/cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,3665,,76974.4,1843,0.466723662,,76445.4,<1,0.463516144,,43337,408.3,0.262767925
hardware/cnf_mo_prop_3_3311_2.cnf_9.30000000.sat,165467,,1605910.3,3096.2,0.215673793,,1189807.5,595.3,0.159791177,,1238632.9,2195.4,0.166348429
hardware/cnf_mo_prop_4_5236_2.cnf_43.96000000.sat,254669,,2041406.7,3547.4,0.178131588,,1536629.9,1035.9,0.13408515,,1584295.2,2489.4,0.138244388
hardware/cnf_mo_prop_5_6974_2.cnf_6.11000000.sat,165507,,1583639.6,2307.7,0.212631436,,1176558.8,386.4,0.157973688,,1225346.6,2374.6,0.164524307
hardware/cnf_mo_prop_6_8441_2.cnf_39.93000000.sat,224753,,1933720.4,3079.2,0.19119462,,1488460.2,804.9,0.147169975,,1525239.3,2011.6,0.150806471
hardware/cnf_mo_prop_7_9141_2.cnf_7.56000000.sat,165582,,1622532.4,2494.1,0.217754802,,1196854.3,739,0.160625927,,1252338.1,2334.9,0.168072227
hardware/cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,3665,,77001.9,1973,0.466890405,,76540.2,<1,0.46409095,,43391.2,380,0.263096559
hardware/cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,3665,,77003.6,1995,0.466900712,,76540.2,<1,0.46409095,,43392.3,386.3,0.263103229
Average,,,1675683.1 ,1774.4 ,0.238319308,,1443760.4 ,629.8 ,0.217561338,,1463466.6 ,2235.8 ,0.208042445
,,,,,,,,,,,,,
software/XSEngine,1260,,29471,1760.8,0.519770723,,26948.6,<1,0.475283951,,27763.5,2772,0.489656085
software/aaed2000,1284,,29853.4,1599.2,0.516673589,,26806.9,<1,0.463947733,,27929.8,2840.9,0.483381793
software/adder,1272,,29869.4,1592.7,0.521827393,,26865.4,<1,0.469346611,,27962.7,2605.8,0.488516771
software/adderII,1276,,29969.4,1370.8,0.521933124,,27535.4,<1,0.479543713,,28367.2,2859.7,0.494029955
software/aeb,1213,,28013,1660.5,0.513199597,,24974.5,<1,0.457534121,,26284,2697,0.481524228
software/aim711,1264,,29478,1729.5,0.518248945,,26445.3,<1,0.464931435,,27584.4,2974.4,0.484957806
software/aki3068net,1207,,28175.6,2058.8,0.518744362,,25799.7,<1,0.475001381,,26645.8,2494.8,0.49057903
software/am31_sim,1165,,27121.9,1775.7,0.517346686,,24679.6,<1,0.470760134,,25584.2,2504.8,0.48801526
software/asb,1231,,28602.6,2282.1,0.51633902,,26281.8,<1,0.474443542,,27128.2,3027.1,0.489722899
software/asb2305,1242,,28643.3,1763.8,0.512494185,,26226.4,<1,0.469250313,,27019,2618.2,0.483431741
software/assabet,1266,,28996.3,2163.4,0.508974899,,26487.8,<1,0.464942952,,27376.5,2781.6,0.480542391
software/at91sam7sek,1296,,29494.8,1508.1,0.505740741,,26712.5,<1,0.458033265,,27565.8,2534.1,0.472664609
software/at91sam7xek,1319,,30264,2084.4,0.509881223,,27559.4,<1,0.464314717,,28452.3,2543.2,0.4793581
software/atlas_mips32_4kc,1216,,28396.8,1854.6,0.518947368,,26149.8,<1,0.477883772,,26921.2,2820.7,0.491980994
software/atlas_mips64_5kc,1209,,28214.8,1778.7,0.518606746,,25821.1,<1,0.474608951,,26591.2,2518,0.4887639
software/axtls,94,,2030.1,1205,0.479929078,,1918.5,<1,0.453546099,,2021.4,1609.8,0.47787234
software/brutus,1221,,28211.6,1977.3,0.513451633,,25367,<1,0.461679862,,26470.2,2455.8,0.481758122
software/buildroot,565,,13908.9,1554,0.547056047,,13751.5,<1,0.54086529,,13820.3,447.5,0.543571288
software/busybox_1_28_0,998,,24213.8,1944.6,0.53916277,,23847.1,<1,0.530997551,,23907.7,395.6,0.532346916
software/calm16_ceb,1173,,27252.8,1924.2,0.516298191,,24542.5,<1,0.464952164,,25607.1,2748.3,0.485120773
software/calm32_ceb,1173,,27251.7,2129.9,0.516277352,,24734.8,<1,0.468595245,,25662.2,2735.6,0.48616463
software/ceb_v850,1189,,27737.6,1304.4,0.518411363,,25682.2,<1,0.479996262,,26291.8,2691.6,0.49138959
software/cerf,1276,,29558,1957.7,0.514768373,,26570.9,<1,0.46274643,,27570.8,2657.6,0.480160223
software/cerfpda,1291,,29926.8,2061.6,0.515135554,,27312.6,<1,0.470136845,,28119.4,2693.8,0.484024443
software/cma230,1212,,28067.3,2040.2,0.514618629,,25409.5,<1,0.465887422,,26441.5,2608.7,0.484809314
software/cma28x,1204,,28055.1,1617.1,0.517812846,,25422.8,<1,0.469228498,,26453.8,2820.1,0.48825766
software/cme555,1266,,29559.6,2056.2,0.518862559,,26771.3,<1,0.469919256,,27733.1,2765.5,0.486801826
software/cq7708,1238,,28531.3,1709.3,0.512139652,,26109.7,<1,0.468671693,,26781.8,2848.9,0.480735954
software/cq7750,1267,,29040,1360.7,0.509339647,,25870.3,<1,0.453745506,,27147.7,2542.2,0.476150136
software/csb281,1233,,29086.3,1693.2,0.524219158,,26302.6,<1,0.474048842,,27279.7,2878.1,0.491659007
software/dreamcast,1252,,28901.9,1834.5,0.51299077,,26546.6,<1,0.471185659,,27301.6,2664,0.484586439
software/e7t,1266,,29540.2,1617.6,0.518522029,,25980.1,<1,0.456031245,,27414.7,3226.4,0.481212919
software/ea2468,1395,,30684.9,1379,0.488807646,,28116.1,<1,0.447886898,,28892.5,2619.7,0.460254879
software/eb40,1240,,28647.4,2097.9,0.513394265,,25860.8,<1,0.463455197,,26947.9,2987.4,0.482937276
software/eb40a,1241,,28685.3,2547.1,0.513659235,,26109.5,<1,0.467535142,,27099,2695.2,0.485253828
software/eb42,1234,,28545.4,1924.1,0.514053665,,25639.9,<1,0.461730596,,26796.5,2641.3,0.482558977
software/eb55,1270,,29228.7,1704.3,0.51143832,,26298.1,<1,0.46015923,,27416.1,2710.6,0.479721785
software/ebsa285,1245,,29279.6,1946.8,0.522616689,,26325.2,<1,0.469883088,,27467.5,2932.5,0.4902722
software/ec555,1267,,29594.4,2275.8,0.519063404,,26641.3,<1,0.467268263,,27752.4,2946.6,0.486756117
software/ecos-icse11,1244,,29164.7,2088.6,0.52098428,,26325.9,<1,0.470273312,,27359.8,3023.4,0.488742408
software/edb7xxx,1246,,28895.8,1863.4,0.515352238,,26292.2,<1,0.468917425,,27262.9,2559.2,0.486229713
software/edosk2674,1194,,27894.8,2444.8,0.519166201,,25507.8,<1,0.474740369,,26345.1,2677.7,0.490323841
software/embtoolkit,2128,,41914.2,858.4,0.437700501,,40107.6,<1,0.418834586,,40692.4,1502.7,0.42494152
software/excalibur_arm9,1233,,28424.6,1218.9,0.512293413,,25725.4,<1,0.46364603,,26514.5,2524.3,0.477867892
software/fads,1187,,27655.7,1560,0.517751568,,25274.8,<1,0.473177946,,26067.2,2822.9,0.488012731
software/financial,771,,4050.7,1802.3,0.116751693,,3149,<1,0.090762358,,4032.9,2094.8,0.116238651
software/flexanet,1265,,29490.3,1851.3,0.518055336,,26438.4,<1,0.464442688,,27698.7,2852.4,0.486582345
software/freebsd-icse11,1396,,32673,1395.9,0.520105062,,30910.2,<1,0.492043935,,30965.5,888.4,0.492924228
software/frv400,1238,,29034.7,1938.1,0.521175731,,26340.2,<1,0.47280919,,27180.6,2958.6,0.487894453
software/gps4020,1213,,28021.8,2195.7,0.513360813,,25260.1,<1,0.462766328,,26177.6,2728.8,0.479574975
software/grg,1241,,28894.3,2626.9,0.517401737,,26349.5,<1,0.471832751,,27257.3,2615.9,0.488088459
software/h8300h_sim,1182,,27364.1,1452.8,0.514459485,,24447.4,<1,0.459623989,,25664.5,2974.5,0.48250611
software/h8max,1202,,28069.7,1663.3,0.518944352,,25418.9,<1,0.469937142,,26436.6,2749.6,0.48875208
software/h8s_sim,1183,,27389.3,2225.5,0.514497981,,25220.9,<1,0.47376538,,25946.9,2631.7,0.487403024
software/hs7729pci,1298,,30116.2,2298,0.515600068,,27312,<1,0.467591166,,28236.1,2621.8,0.483412087
software/innovator,1256,,29251.4,1771.3,0.517540694,,26383.8,<1,0.466804671,,27268.5,2870.7,0.482457537
software/integrator_arm7,1259,,29342,1952.5,0.517906628,,26448.8,<1,0.466839643,,27450,2955.5,0.484511517
software/integrator_arm9,1267,,29422,898.8,0.516039639,,26588,<1,0.466333421,,27432,2725.4,0.481136543
software/ipaq,1258,,28781.2,1220.8,0.508411941,,26078.2,<1,0.460664194,,27022,2644.7,0.47733616
software/iq80310,1258,,29348.3,1389.1,0.518429606,,26299,<1,0.464564565,,27441.9,3094.7,0.484753577
software/iq80321,1256,,29327.9,2148.9,0.518894197,,26423.8,<1,0.467512385,,27463.2,2775.3,0.485902335
software/ixdp425,1247,,29031.4,1827.8,0.517355431,,26505,<1,0.472333601,,27530.3,3098.6,0.490605008
software/jmr3904,1199,,27808.4,1991.3,0.51539987,,25008,<1,0.463497359,,26103.7,2465.2,0.483805023
software/jtst,1241,,28687.9,1294.1,0.513705793,,25794.1,<1,0.461887367,,26952.2,2734.6,0.482625123
software/linux,1232,,28190.2,1643.3,0.508481241,,25344.5,<1,0.457151876,,26474.3,2423.7,0.477530664
software/lpcmt,1249,,28915.6,2371.9,0.514466684,,26292.3,<1,0.467792901,,27222.5,2947.3,0.48434303
software/m5272c3,1323,,30824.8,1859.9,0.517759301,,28124.7,<1,0.472406148,,29024.5,2201.6,0.487519946
software/mac7100evb,1234,,28579.7,1902.9,0.514671349,,25970.3,<1,0.467680533,,26902.8,2581.4,0.484473258
