Instance,nvar,,LS-DivSAT,,,,DiversekSet,,,,DiverSAT,,
,,,avg.dis,time,Quality,,avg.dis,time,Quality,,avg.dis,time,Quality
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,83908,,98162101.9,3587.6,0.236338939,,93488988.1,993,0.225087766,,94318205.8,3418,0.227084223
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,83908,,97862106.3,3509.2,0.235616657,,93214937.5,782.1,0.224427951,,94014234.4,3459.7,0.22635237
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,83908,,97932393,3533.5,0.235785882,,93214937.5,861,0.224427951,,94014629.5,3465.4,0.226353321
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,83908,,98261016.1,3587.8,0.236577088,,93489060.7,711.4,0.225087941,,94330058.5,3389.9,0.22711276
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,83908,,98315729.4,3566.1,0.236708818,,93489060.7,1058.9,0.225087941,,94283860.2,3432.9,0.227001531
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,83908,,98129782,3598.5,0.236261124,,93272481,1032.4,0.224566495,,94210951.8,3484,0.226825994
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,83908,,98144188.6,3585.4,0.23629581,,93272481,1023.1,0.224566495,,94198295.7,3518.8,0.226795523
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,83908,,98018892.3,3428.7,0.235994141,,93311859.3,751.7,0.224661304,,94116268.6,3375,0.226598031
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,83908,,98022249.6,3432.7,0.236002225,,93311859.3,726.4,0.224661304,,94146034.4,3407,0.226669696
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,5200,,9352465.8,3557.6,0.36334366,,9188544.8,5.3,0.356975322,,9260320.1,3475.1,0.359763796
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,83908,,97196928.7,3404.9,0.23401515,,92231989.9,771.6,0.222061368,,93107984.6,3426.9,0.224170447
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,83908,,94822370.1,3598.9,0.228298069,,89183546.4,753.3,0.214721815,,90453023.4,3476.2,0.217778258
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,5200,,9350607.1,3333,0.363271449,,9188544.8,5.1,0.356975322,,9260862.9,3462,0.359784883
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,83908,,94867862.4,3599.4,0.228407598,,89183546.4,1081.1,0.214721815,,90442820.8,3488.3,0.217753694
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,5200,,9353491,3560.6,0.363383489,,9188544.8,5.8,0.356975322,,9260092.5,3343.6,0.359754953
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,83908,,95583489.1,3553.8,0.230130569,,90763605.4,1075.1,0.218526027,,91650789.1,3502.3,0.220662046
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,5200,,9352987.2,3510.3,0.363363916,,9188544.8,5.6,0.356975322,,9260298,3464.4,0.359762937
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,83908,,95618661.8,3393.6,0.230215252,,90763605.4,809.7,0.218526027,,91648629.4,3356.2,0.220656846
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,83908,,96387339.4,3598.9,0.232065951,,91491629.6,702.3,0.220278847,,92446562.4,3370.8,0.222577981
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,83908,,96381397.6,3598.6,0.232051645,,91491629.6,751.8,0.220278847,,92411884.5,3450.8,0.222494489
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,83908,,96162516,3518.3,0.231524657,,91767589.2,1075.4,0.220943258,,92499647.8,3520.4,0.222705791
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,83908,,97230764.2,3467.8,0.234096613,,92231989.9,1091.4,0.222061368,,93109619.4,3496.5,0.224174383
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,83908,,96148983,3599.2,0.231492074,,91767589.2,954.8,0.220943258,,92499652,3503.7,0.222705801
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,83908,,97302447.4,3580.7,0.234269201,,92473049.5,747.1,0.222641752,,93399614.7,3520.5,0.224872587
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,83908,,97360962.9,3568,0.234410085,,92473049.5,1013.2,0.222641752,,93331598.8,3511.1,0.224708829
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,83908,,97288243.4,3594.8,0.234235002,,92576854.6,764.2,0.222891677,,93481740.4,3481.6,0.225070316
