Instance,nvar,,LS-DivSAT,,,,DiversekSet,,,,DiverSAT,,
,,,avg.dis,time,Quality,,avg.dis,time,Quality,,avg.dis,time,Quality
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,83908,,24506512.5,3540.5,0.259612512,,23052149.4,711.5,0.244205552,,23366042.4,3468.7,0.247530813
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,83908,,24418687.4,3016.3,0.258682127,,23047070.1,517.4,0.244151744,,23331806.4,3302.7,0.24716813
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,83908,,24438586.2,3152.6,0.258892927,,23047070.1,638.1,0.244151744,,23330791.3,3340.6,0.247157377
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,83908,,24529717.2,3110.4,0.259858334,,23009922.9,494,0.243758221,,23327177.7,3229.7,0.247119096
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,83908,,24538430.8,2718.2,0.259950642,,23009922.9,647.2,0.243758221,,23320823.9,3289.9,0.247051786
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,83908,,24519734.9,3108.8,0.259752585,,22994847.2,733.2,0.243598515,,23289013.4,3508.9,0.246714798
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,83908,,24518666.4,3017.2,0.259741266,,22994847.2,649.5,0.243598515,,23288285.1,3431.6,0.246707082
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,83908,,24475829.4,2957.1,0.259287467,,23037842.5,472.9,0.24405399,,23316094.9,3314.2,0.247001689
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,83908,,24475884.3,2837.5,0.259288049,,23037842.5,482.5,0.24405399,,23321846.4,3422.9,0.247062618
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,5200,,2332105.6,3241.3,0.39865053,,2287413.2,2.7,0.391010803,,2305000.8,3121.8,0.394017231
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,83908,,24265532.8,3050.8,0.257059666,,22731952.2,601.7,0.240813507,,23053436.9,3451.6,0.244219191
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,83908,,23668184.8,3283.3,0.250731593,,21975727,540,0.23280235,,22411940.1,3380.4,0.237423422
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,5200,,2331881.6,3117.1,0.398612239,,2287413.2,2.9,0.391010803,,2305148.6,3160.3,0.394042496
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,83908,,23671398,3203.8,0.250765632,,21975727,702.1,0.23280235,,22406825.6,3437.6,0.237369241
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,5200,,2332080.1,3198.2,0.398646171,,2287413.2,2.9,0.391010803,,2305020.4,3214.8,0.394020581
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,83908,,23865396.9,3031.6,0.252820781,,22419623.9,763.8,0.237504822,,22722813.1,3514.6,0.240716691
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,5200,,2332440.2,3443.2,0.398707726,,2287413.2,2.8,0.391010803,,2304866.2,3185.1,0.393994222
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,83908,,23864095.6,3004.7,0.252806996,,22419623.9,532.1,0.237504822,,22725324.2,3285,0.240743292
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,83908,,24062279.7,2697.4,0.254906482,,22584622.5,465.5,0.239252753,,22876052.1,3279.9,0.242340045
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,83908,,24062898.5,2965.6,0.254913037,,22584622.5,491.1,0.239252753,,22874460.5,3324,0.242323185
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,83908,,24016249,3042.8,0.25441885,,22668855,719.2,0.24014508,,22915862.1,3332.4,0.242761777
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,83908,,24272106,3031.7,0.2571293,,22731952.2,730,0.240813507,,23059804.7,3458.1,0.244286649
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,83908,,24004905,3111.1,0.254298676,,22668855,661.6,0.24014508,,22909820.9,3395.7,0.242697779
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,83908,,24295023.3,3162,0.257372077,,22736464.4,461.9,0.240861307,,23089892.3,3483.2,0.244605386
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,83908,,24302651.1,2951.8,0.257452883,,22736464.4,675.9,0.240861307,,23072172.6,3362.4,0.24441767
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,83908,,24272271.6,2929.5,0.257131055,,22882015.7,491.2,0.242403222,,23179882.4,3401.6,0.245558706
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,83908,,24272846.7,2971.1,0.257137147,,22882015.7,527.9,0.242403222,,23173056.1,3388.1,0.245486391
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,83909,,24315814.9,2823.9,0.257589266,,22712035,650.4,0.240599644,,23109216.1,3248.3,0.244807177
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,83909,,24324460.4,2834.7,0.257680852,,22712035,603.5,0.240599644,,23101687.6,3298.6,0.244727424
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,29375,,9227803.4,2883.8,0.279233767,,8834693.8,98.8,0.267338252,,8994166.4,3372.4,0.272163901
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,83909,,24146930.6,2974.1,0.255800192,,22518245.9,713,0.238546742,,22907473.7,3448.2,0.242670022
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,83909,,24142871.1,3018.1,0.255757188,,22518245.9,536.5,0.238546742,,22912907.9,3367.8,0.242727589
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,83908,,24563976.1,3312.7,0.260221259,,23019421.8,863,0.243858849,,23331532.5,3489.8,0.247165229
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,83908,,24559469,3136.7,0.260173513,,23019421.8,537,0.243858849,,23340488.2,3329.5,0.247260102
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,83908,,24539714.1,3172.6,0.259964237,,23123015.3,467.2,0.244956278,,23411465.1,3353.2,0.248012004
