Instance,,LS-DivSAT,,,DiverSAT,
,,avg.dis,time,,avg.dis,time
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,,98151275.7,3413.5,,94318205.8,3418.0
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,,97856791.6,3400.0,,94014234.4,3459.7
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,,97928228.8,3430.0,,94014629.5,3465.4
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,,98255429.5,3388.8,,94330058.5,3389.9
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,,98310022.0,3429.4,,94283860.2,3432.9
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,,98124651.2,3482.2,,94210951.8,3484.0
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,,98140815.6,3517.8,,94198295.7,3518.8
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,,98010404.9,3217.7,,94116268.6,3375.0
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,,98018790.7,3278.2,,94146034.4,3407.0
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,,9351656.6,3401.3,,9260320.1,3475.1
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,,97187613.3,3244.6,,93107984.6,3426.9
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,,94814278.8,3474.9,,90453023.4,3476.2
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,,9350065.4,3257.7,,9260862.9,3462.0
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,,94862578.1,3487.1,,90442820.8,3488.3
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,,9352092.2,3325.4,,9260092.5,3343.6
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,,95581222.9,3475.1,,91650789.1,3502.3
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,,9352056.8,3423.6,,9260298.0,3464.4
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,,95604332.0,3190.8,,91648629.4,3356.2
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,,96378188.8,3369.0,,92446562.4,3370.8
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,,96372515.1,3447.7,,92411884.5,3450.8
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,,96162516.0,3518.3,,92499647.8,3520.4
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,,97223653.9,3385.5,,93109619.4,3496.5
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,,96144294.6,3468.4,,92499652.0,3503.7
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,,97300628.1,3508.2,,93399614.7,3520.5
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,,97359140.5,3494.3,,93331598.8,3511.1
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,,97284516.2,3473.5,,93481740.4,3481.6
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,,97282417.3,3454.7,,93447582.5,3479.9
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,,97343547.9,3385.6,,93113536.0,3522.8
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,,97370109.6,3522.8,,93094676.2,3524.1
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,,36972581.9,3373.5,,36357867.9,3477.0
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,,96651319.4,3472.6,,92517959.5,3500.0
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,,96657163.7,3406.1,,92591091.1,3436.4
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,,98376901.2,3511.9,,94329059.2,3519.5
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,,98356112.4,3282.0,,94326430.9,3464.9
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,,98309785.2,3264.7,,94379678.0,3443.6
hardware/cnf_cbpmas_prop_8_15004_2.cnf_8.69000000.sat,,98327125.7,3525.6,,94332833.5,3527.2
hardware/cnf_cbpmas_prop_9_15343_2.cnf_12.07000000.sat,,98185028.4,3480.8,,94319068.6,3484.0
hardware/cnf_cpipe_prop_10_20413_2.cnf_16.84000000.sat,,279900723.7,3311.8,,244677626.3,3318.4
hardware/cnf_cpipe_prop_11_21051_2.cnf_29.93000000.sat,,300920773.0,3319.6,,270566340.6,3335.1
hardware/cnf_cpipe_prop_12_21804_2.cnf_68.17000000.sat,,314708064.2,3373.4,,291096001.6,3380.7
hardware/cnf_cpipe_prop_13_23041_2.cnf_42.17000000.sat,,302426000.2,3384.4,,291515251.2,3391.0
hardware/cnf_cpipe_prop_14_23811_2.cnf_292.62000000.sat,,570633482.0,1025.8,,497726037.3,2065.3
hardware/cnf_cpipe_prop_15_25783_2.cnf_189.85000000.sat,,473613764.2,2460.3,,413920900.8,2486.3
hardware/cnf_cpipe_prop_16_27432_2.cnf_40.15000000.sat,,263290785.8,3285.6,,255976518.0,3292.1
hardware/cnf_cpipe_prop_17_28108_2.cnf_72.55000000.sat,,375465325.8,3454.9,,354726658.7,3465.7
hardware/cnf_cpipe_prop_18_28701_2.cnf_263.71000000.sat,,483100632.0,1764.5,,433742471.4,2143.1
hardware/cnf_cpipe_prop_1_1311_2.cnf_604.73000000.sat,,392057864.3,2891.0,,361264379.9,2900.8
hardware/cnf_cpipe_prop_2_5187_2.cnf_67.86000000.sat,,327307089.2,3435.9,,307665299.1,3443.6
hardware/cnf_cpipe_prop_3_6087_2.cnf_512.33000000.sat,,214183173.0,3117.0,,171552897.5,3121.9
hardware/cnf_cpipe_prop_4_8995_2.cnf_377.48000000.sat,,318487613.5,2796.5,,294073186.6,2804.7
hardware/cnf_cpipe_prop_5_12634_2.cnf_428.11000000.sat,,356308860.3,3057.8,,308016997.0,3075.8
hardware/cnf_cpipe_prop_6_14274_2.cnf_315.20000000.sat,,347702872.0,1230.8,,433556463.6,1240.5
hardware/cnf_cpipe_prop_7_16419_2.cnf_111.63000000.sat,,375066630.8,3482.0,,332405392.5,3486.6
hardware/cnf_cpipe_prop_8_18296_2.cnf_47.23000000.sat,,405368330.0,3542.0,,362172743.9,3560.6
hardware/cnf_cpipe_prop_9_19174_2.cnf_130.83000000.sat,,423401181.5,3551.0,,388494171.2,3571.5
hardware/cnf_mo_prop_10_14326_2.cnf_5.95000000.sat,,165715564.7,2690.0,,127547551.3,2692.8
hardware/cnf_mo_prop_11_15981_2.cnf_5.79000000.sat,,164157737.7,2782.7,,130859294.1,2784.7
hardware/cnf_mo_prop_1_790_2.cnf_0.00000000.sat,,7897383.2,2380.8,,4634736.3,2509.8
hardware/cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,,7898575.5,2333.8,,4634765.4,2394.3
hardware/cnf_mo_prop_3_3311_2.cnf_9.30000000.sat,,166323349.3,2766.8,,130852997.8,2768.2
hardware/cnf_mo_prop_4_5236_2.cnf_43.96000000.sat,,208393986.9,2346.2,,148295302.7,2353.1
hardware/cnf_mo_prop_5_6974_2.cnf_6.11000000.sat,,164409473.9,2805.5,,130420225.2,2807.2
hardware/cnf_mo_prop_6_8441_2.cnf_39.93000000.sat,,199573299.2,2414.2,,147731316.5,2417.5
hardware/cnf_mo_prop_7_9141_2.cnf_7.56000000.sat,,168402617.8,2797.9,,132538116.9,2800.5
hardware/cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,,7896616.9,2220.5,,4634509.0,2393.7
hardware/cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,,7896968.2,2137.5,,4634454.7,2316.2
software/XSEngine,,2962909.8,2729.0,,2817294.5,3530.1
software/aaed2000,,3000771.1,2760.2,,2850010.0,3539.5
software/adder,,3002560.4,2232.7,,2868848.0,3566.5
software/adderII,,3012301.0,2428.2,,2881368.5,3509.2
software/aeb,,2816212.8,2348.6,,2679576.4,3502.4
software/aim711,,2963592.7,2453.9,,2825581.2,3533.2
software/aki3068net,,2835369.0,2490.2,,2709457.8,3293.9
software/am31_sim,,2724975.0,2273.0,,2617309.5,3493.5
software/asb,,2875431.8,2278.4,,2753497.1,3521.0
software/asb2305,,2880264.7,2452.6,,2763686.3,3286.5
software/assabet,,2914721.0,2252.6,,2763216.8,3542.0
software/at91sam7sek,,2963793.4,2776.1,,2832479.8,3483.6
software/at91sam7xek,,3044217.1,2516.4,,2905739.2,3569.2
software/atlas_mips32_4kc,,2854848.1,2841.0,,2726289.2,3489.3
software/atlas_mips64_5kc,,2837430.3,2516.4,,2706370.6,3380.8
software/axtls,,204297.2,628.6,,204191.5,3192.3
software/brutus,,2835839.0,2678.7,,2710685.8,3520.3
software/buildroot,,1390287.0,1512.6,,1389557.9,2018.5
software/busybox_1_28_0,,2443131.3,2500.6,,2436068.0,2845.7
software/calm16_ceb,,2738031.2,2864.4,,2627860.2,3530.6
software/calm32_ceb,,2737961.1,2758.3,,2625712.1,3568.9
software/ceb_v850,,2786982.8,2680.3,,2669481.8,3285.2
software/cerf,,2971695.3,2462.0,,2823443.6,3314.0
software/cerfpda,,3009501.7,2939.4,,2862545.8,3468.6
software/cma230,,2820903.4,2386.6,,2695524.5,3343.9
software/cma28x,,2819611.8,2091.7,,2703326.8,3489.8
software/cme555,,2970194.2,2660.4,,2855426.2,3560.6
software/cq7708,,2867097.0,3215.2,,2723492.0,3513.5
software/cq7750,,2917532.7,2519.5,,2793727.1,3547.2
software/csb281,,2926187.9,2173.6,,2802281.0,3455.8
software/dreamcast,,2907728.3,2459.3,,2784117.7,3523.2
software/e7t,,2970209.0,2653.0,,2833876.4,3488.8
software/ea2468,,3084911.6,2450.2,,2924215.4,3277.5
software/eb40,,2880273.6,2548.8,,2755540.3,3434.5
software/eb40a,,2882821.7,2844.3,,2756873.0,3371.2
software/eb42,,2868564.8,2778.8,,2733392.9,3545.9
software/eb55,,2937598.6,2324.1,,2808044.9,3535.6
software/ebsa285,,2946371.7,2591.5,,2802438.5,3448.8
software/ec555,,2972800.0,2619.7,,2845221.0,3522.5
software/ecos-icse11,,2932825.0,2800.9,,2814595.2,3281.0
software/edb7xxx,,2905322.1,3129.3,,2768016.5,3530.3
software/edosk2674,,2806580.1,2569.6,,2691373.5,3481.5
software/embtoolkit,,4251310.0,3097.5,,4195380.7,3298.2
software/excalibur_arm9,,2856188.4,2604.5,,2708359.8,3404.0
software/fads,,2777537.4,2622.7,,2664164.3,3528.6
software/financial,,413942.2,2935.9,,410279.7,3453.4
software/flexanet,,2968079.0,2995.9,,2830946.8,3504.7
software/freebsd-icse11,,3295457.0,3113.0,,3208912.3,3431.1
software/frv400,,2919069.7,2284.3,,2781570.8,3525.1
software/gps4020,,2816912.8,2371.0,,2691996.9,3268.7
software/grg,,2905528.4,2310.9,,2768714.1,3531.2
software/h8300h_sim,,2750086.0,2329.3,,2635480.7,3353.7
software/h8max,,2822820.4,2936.9,,2704205.8,3555.1
software/h8s_sim,,2752429.8,2606.9,,2640598.5,3301.3
software/hs7729pci,,3028568.2,2806.7,,2869480.5,3446.2
software/innovator,,2940442.1,2598.0,,2779532.8,3510.9
software/integrator_arm7,,2950299.3,2407.8,,2821831.6,3431.1
software/integrator_arm9,,2959430.8,2708.4,,2776526.4,3400.7
software/ipaq,,2892635.0,2661.4,,2764200.2,3537.3
software/iq80310,,2952840.0,2221.8,,2820006.5,3544.3
software/iq80321,,2947929.7,2385.3,,2808207.6,3507.4
software/ixdp425,,2919085.6,2693.2,,2780864.1,3520.7
software/jmr3904,,2795437.0,2576.1,,2682087.2,3500.5
software/jtst,,2882821.1,2863.9,,2752571.5,3490.6
software/linux,,2835518.0,2670.1,,2709220.8,3257.5
software/lpcmt,,2905663.2,2828.5,,2771745.2,3454.0
software/m5272c3,,3103845.3,2630.2,,2951865.1,3269.2
software/mac7100evb,,2871390.6,2581.8,,2755688.5,3416.1
software/mace1,,2871682.0,2672.6,,2745298.8,3521.8
